"DateTime","Counter-Strike: Global Offensive","Sid Meier's Civilization V","Grand Theft Auto V","Sid Meier's Civilization VI","The Elder Scrolls V: Skyrim Special Edition","Far Cry 5","PUBG: BATTLEGROUNDS","Monster Hunter: World","Assassin's Creed Odyssey","太吾绘卷 The Scroll Of Taiwu"
"2015-03-01 00:00:00",595439,67160,,,,,,,,
"2015-03-02 00:00:00",,,,,,,,,,
"2015-03-03 00:00:00",,,,,,,,,,
"2015-03-04 00:00:00",,,,,,,,,,
"2015-03-05 00:00:00",,,,,,,,,,
"2015-03-06 00:00:00",,,,,,,,,,
"2015-03-07 00:00:00",,,,,,,,,,
"2015-03-08 00:00:00",,,,,,,,,,
"2015-03-09 00:00:00",,,,,,,,,,
"2015-03-10 00:00:00",,,,,,,,,,
"2015-03-11 00:00:00",,,,,,,,,,
"2015-03-12 00:00:00",,,,,,,,,,
"2015-03-13 00:00:00",,,,,,,,,,
"2015-03-14 00:00:00",,,,,,,,,,
"2015-03-15 00:00:00",,,,,,,,,,
"2015-03-16 00:00:00",,,,,,,,,,
"2015-03-17 00:00:00",,,,,,,,,,
"2015-03-18 00:00:00",,,,,,,,,,
"2015-03-19 00:00:00",,,,,,,,,,
"2015-03-20 00:00:00",,,,,,,,,,
"2015-03-21 00:00:00",,,,,,,,,,
"2015-03-22 00:00:00",,,,,,,,,,
"2015-03-23 00:00:00",,,,,,,,,,
"2015-03-24 00:00:00",,,,,,,,,,
"2015-03-25 00:00:00",,,,,,,,,,
"2015-03-26 00:00:00",,,,,,,,,,
"2015-03-27 00:00:00",,,,,,,,,,
"2015-03-28 00:00:00",,,,,,,,,,
"2015-03-29 00:00:00",,,,,,,,,,
"2015-03-30 00:00:00",,,,,,,,,,
"2015-03-31 00:00:00",,,,,,,,,,
"2015-04-01 00:00:00",568556,55583,360761,,,,,,,
"2015-04-02 00:00:00",,,,,,,,,,
"2015-04-03 00:00:00",,,,,,,,,,
"2015-04-04 00:00:00",,,,,,,,,,
"2015-04-05 00:00:00",,,,,,,,,,
"2015-04-06 00:00:00",,,,,,,,,,
"2015-04-07 00:00:00",,,,,,,,,,
"2015-04-08 00:00:00",,,,,,,,,,
"2015-04-09 00:00:00",,,,,,,,,,
"2015-04-10 00:00:00",,,,,,,,,,
"2015-04-11 00:00:00",,,,,,,,,,
"2015-04-12 00:00:00",,,,,,,,,,
"2015-04-13 00:00:00",,,,,,,,,,
"2015-04-14 00:00:00",,,300344,,,,,,,
"2015-04-15 00:00:00",,,301097,,,,,,,
"2015-04-16 00:00:00",,,298348,,,,,,,
"2015-04-17 00:00:00",,,315264,,,,,,,
"2015-04-18 00:00:00",,,357585,,,,,,,
"2015-04-19 00:00:00",551054,47823,364544,,,,,,,
"2015-04-20 00:00:00",509392,43465,277980,,,,,,,
"2015-04-21 00:00:00",505119,34461,261864,,,,,,,
"2015-04-22 00:00:00",502104,34238,248119,,,,,,,
"2015-04-23 00:00:00",501062,34451,237606,,,,,,,
"2015-04-24 00:00:00",521335,38738,245193,,,,,,,
"2015-04-25 00:00:00",568782,50410,281447,,,,,,,
"2015-04-26 00:00:00",569848,51482,284787,,,,,,,
"2015-04-27 00:00:00",524411,44678,207244,,,,,,,
"2015-04-28 00:00:00",518291,35014,195632,,,,,,,
"2015-04-29 00:00:00",512618,34442,187146,,,,,,,
"2015-04-30 00:00:00",524944,35590,188681,,,,,,,
"2015-05-01 00:00:00",511203,40429,210262,,,,,,,
"2015-05-02 00:00:00",552794,47770,213106,,,,,,,
"2015-05-03 00:00:00",579356,50414,216918,,,,,,,
"2015-05-04 00:00:00",518035,44290,175294,,,,,,,
"2015-05-05 00:00:00",519839,35613,155642,,,,,,,
"2015-05-06 00:00:00",514383,34216,149283,,,,,,,
"2015-05-07 00:00:00",514128,34472,144212,,,,,,,
"2015-05-08 00:00:00",552668,39510,157408,,,,,,,
"2015-05-09 00:00:00",538983,49519,178439,,,,,,,
"2015-05-10 00:00:00",548320,50800,173486,,,,,,,
"2015-05-11 00:00:00",513952,43241,137055,,,,,,,
"2015-05-12 00:00:00",497478,36125,126278,,,,,,,
"2015-05-13 00:00:00",502256,36339,120991,,,,,,,
"2015-05-14 00:00:00",500080,37654,131093,,,,,,,
"2015-05-15 00:00:00",530986,40889,131731,,,,,,,
"2015-05-16 00:00:00",562379,50282,158695,,,,,,,
"2015-05-17 00:00:00",571119,51502,158701,,,,,,,
"2015-05-18 00:00:00",537038,44576,113437,,,,,,,
"2015-05-19 00:00:00",515278,37239,106378,,,,,,,
"2015-05-20 00:00:00",513685,36222,101272,,,,,,,
"2015-05-21 00:00:00",516034,36804,99212,,,,,,,
"2015-05-22 00:00:00",545190,40631,107725,,,,,,,
"2015-05-23 00:00:00",541205,47994,123107,,,,,,,
"2015-05-24 00:00:00",545013,51705,118943,,,,,,,
"2015-05-25 00:00:00",552376,50338,109445,,,,,,,
"2015-05-26 00:00:00",508968,44352,88807,,,,,,,
"2015-05-27 00:00:00",681170,37400,82914,,,,,,,
"2015-05-28 00:00:00",630579,36817,81439,,,,,,,
"2015-05-29 00:00:00",614395,39724,87611,,,,,,,
"2015-05-30 00:00:00",600079,48808,99625,,,,,,,
"2015-05-31 00:00:00",631284,52607,98642,,,,,,,
"2015-06-01 00:00:00",578549,46191,74943,,,,,,,
"2015-06-02 00:00:00",569978,37725,72646,,,,,,,
"2015-06-03 00:00:00",587370,37169,69406,,,,,,,
"2015-06-04 00:00:00",582715,37525,72082,,,,,,,
"2015-06-05 00:00:00",558996,38897,74199,,,,,,,
"2015-06-06 00:00:00",511890,44053,81652,,,,,,,
"2015-06-07 00:00:00",579984,48697,81683,,,,,,,
"2015-06-08 00:00:00",573335,43176,63517,,,,,,,
"2015-06-09 00:00:00",570371,38146,63557,,,,,,,
"2015-06-10 00:00:00",566053,36075,73271,,,,,,,
"2015-06-11 00:00:00",553731,35229,69641,,,,,,,
"2015-06-12 00:00:00",544088,37738,74765,,,,,,,
"2015-06-13 00:00:00",546174,44195,85285,,,,,,,
"2015-06-14 00:00:00",591163,50322,83253,,,,,,,
"2015-06-15 00:00:00",589481,45128,65684,,,,,,,
"2015-06-16 00:00:00",586602,45144,63470,,,,,,,
"2015-06-17 00:00:00",604309,43734,59565,,,,,,,
"2015-06-18 00:00:00",582001,42910,58473,,,,,,,
"2015-06-19 00:00:00",558605,43139,61921,,,,,,,
"2015-06-20 00:00:00",551773,49064,67624,,,,,,,
"2015-06-21 00:00:00",583128,53535,68598,,,,,,,
"2015-06-22 00:00:00",611284,47506,56587,,,,,,,
"2015-06-23 00:00:00",594003,44830,55826,,,,,,,
"2015-06-24 00:00:00",599440,43441,53689,,,,,,,
"2015-06-25 00:00:00",588950,41698,53124,,,,,,,
"2015-06-26 00:00:00",542428,41716,56656,,,,,,,
"2015-06-27 00:00:00",517905,49970,62801,,,,,,,
"2015-06-28 00:00:00",568420,53790,60286,,,,,,,
"2015-06-29 00:00:00",575554,47859,52709,,,,,,,
"2015-06-30 00:00:00",539500,40341,51581,,,,,,,
"2015-07-01 00:00:00",541692,40200,52644,,,,,,,
"2015-07-02 00:00:00",522992,38741,51893,,,,,,,
"2015-07-03 00:00:00",491509,42408,54425,,,,,,,
"2015-07-04 00:00:00",463120,44838,57979,,,,,,,
"2015-07-05 00:00:00",506209,50332,59180,,,,,,,
"2015-07-06 00:00:00",544222,45665,51912,,,,,,,
"2015-07-07 00:00:00",528477,40457,50127,,,,,,,
"2015-07-08 00:00:00",546142,39777,61067,,,,,,,
"2015-07-09 00:00:00",543496,39010,55071,,,,,,,
"2015-07-10 00:00:00",498573,39010,54498,,,,,,,
"2015-07-11 00:00:00",471760,45521,58277,,,,,,,
"2015-07-12 00:00:00",531385,50863,60047,,,,,,,
"2015-07-13 00:00:00",535060,45322,51054,,,,,,,
